School Year,School Code,District Number,School Number,District Name,School Name,Gender,Ethnicity,Type,Graduates with Diploma in 4 years,Graduates with Diploma but IEP allowed 4+ years,Graduates with Diploma in 4+ years,Certificates of Completion or GED,Total Graduates or Completers,AFGR Graduates,Grade 9 Membership,Grade 10 Membership,AFGR Average Membership,AFGR Grad Rate,District Factors Impacting AFGR**
2008 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,White ,A1 ,82 ,0 ,0 ,0 ,82 ,82 ,81 ,76 ,78.5 ,100.0 ,"C,E "
2012 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,567 ,567 ,  ,Walton-Verona Independent ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Total ,A1 ,106 ,0 ,0 ,2 ,108 ,106 ,116 ,111 ,113.5 ,93.4 ,"C,E "
2011 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Total ,A1 ,105 ,0 ,0 ,2 ,107 ,105 ,114 ,112 ,113.0 ,92.9 ,"C,E "
2010 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Total ,A1 ,96 ,0 ,0 ,0 ,96 ,96 ,95 ,98 ,96.5 ,99.5 ,"C,E "
2009 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Total ,A1 ,85 ,0 ,0 ,2 ,87 ,85 ,94 ,91 ,92.5 ,91.9 ,"C,E "
2008 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Total ,A1 ,84 ,0 ,0 ,0 ,84 ,84 ,84 ,81 ,82.5 ,100.0 ,"C,E "
2012 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Female ,Total ,A1 ,61 ,0 ,0 ,2 ,63 ,61 ,62 ,58 ,60.0 ,100.0 ,"C,E "
2011 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Female ,Total ,A1 ,45 ,0 ,0 ,2 ,47 ,45 ,49 ,47 ,48.0 ,93.8 ,"C,E "
2010 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Female ,Total ,A1 ,39 ,0 ,0 ,0 ,39 ,39 ,39 ,40 ,39.5 ,98.7 ,"C,E "
2009 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Female ,Total ,A1 ,41 ,0 ,0 ,2 ,43 ,41 ,43 ,45 ,44.0 ,93.2 ,"C,E "
2008 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Female ,Total ,A1 ,51 ,0 ,0 ,0 ,51 ,51 ,52 ,50 ,51.0 ,100.0 ,"C,E "
2012 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Male ,Total ,A1 ,45 ,0 ,0 ,0 ,45 ,45 ,54 ,53 ,53.5 ,84.1 ,"C,E "
2011 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Male ,Total ,A1 ,60 ,0 ,0 ,0 ,60 ,60 ,65 ,65 ,65.0 ,92.3 ,"C,E "
2010 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Male ,Total ,A1 ,57 ,0 ,0 ,0 ,57 ,57 ,56 ,58 ,57.0 ,100.0 ,"C,E "
2009 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Male ,Total ,A1 ,44 ,0 ,0 ,0 ,44 ,44 ,51 ,46 ,48.5 ,90.7 ,"C,E "
2008 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Male ,Total ,A1 ,33 ,0 ,0 ,0 ,33 ,33 ,32 ,31 ,31.5 ,100.0 ,"C,E "
2012 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,White ,A1 ,101 ,0 ,0 ,2 ,103 ,101 ,113 ,108 ,110.5 ,91.4 ,"C,E "
2011 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,White ,A1 ,101 ,0 ,0 ,2 ,103 ,101 ,113 ,110 ,111.5 ,90.6 ,"C,E "
2010 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,White ,A1 ,92 ,0 ,0 ,0 ,92 ,92 ,90 ,94 ,92.0 ,100.0 ,"C,E "
2009 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,White ,A1 ,80 ,0 ,0 ,2 ,82 ,80 ,92 ,88 ,90.0 ,88.9 ,"C,E "
2008 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,White ,A1 ,82 ,0 ,0 ,0 ,82 ,82 ,81 ,76 ,78.5 ,100.0 ,"C,E "
2012 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,567020 ,567 ,020 ,Walton-Verona Independent ,Walton-Verona High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Total ,A1 ,910 ,2 ,9 ,4 ,925 ,912 ,1069 ,1016 ,1042.5 ,87.5 ,  
2011 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Total ,A1 ,843 ,2 ,14 ,8 ,867 ,845 ,1016 ,947 ,981.5 ,86.1 ,  
2010 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Total ,A1 ,861 ,5 ,11 ,4 ,881 ,866 ,1041 ,964 ,1002.5 ,86.4 ,  
2009 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Total ,A1 ,821 ,0 ,4 ,17 ,842 ,821 ,1016 ,924 ,970.0 ,84.6 ,  
2008 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Total ,A1 ,821 ,5 ,3 ,4 ,833 ,826 ,994 ,922 ,958.0 ,86.2 ,  
2012 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Female ,Total ,A1 ,446 ,2 ,4 ,0 ,452 ,448 ,510 ,475 ,492.5 ,91.0 ,  
2011 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Female ,Total ,A1 ,424 ,1 ,6 ,2 ,433 ,425 ,481 ,458 ,469.5 ,90.5 ,  
2010 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Female ,Total ,A1 ,432 ,1 ,5 ,1 ,439 ,433 ,501 ,466 ,483.5 ,89.6 ,  
2009 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Female ,Total ,A1 ,410 ,0 ,2 ,5 ,417 ,410 ,474 ,449 ,461.5 ,88.8 ,  
2008 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Female ,Total ,A1 ,418 ,2 ,1 ,1 ,422 ,420 ,478 ,447 ,462.5 ,90.8 ,  
2012 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Male ,Total ,A1 ,464 ,0 ,5 ,4 ,473 ,464 ,559 ,541 ,550.0 ,84.4 ,  
2011 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Male ,Total ,A1 ,419 ,1 ,8 ,6 ,434 ,420 ,535 ,489 ,512.0 ,82.0 ,  
2010 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Male ,Total ,A1 ,429 ,4 ,6 ,3 ,442 ,433 ,540 ,498 ,519.0 ,83.4 ,  
2009 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Male ,Total ,A1 ,411 ,0 ,2 ,12 ,425 ,411 ,542 ,475 ,508.5 ,80.8 ,  
2008 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Male ,Total ,A1 ,403 ,3 ,2 ,3 ,411 ,406 ,516 ,475 ,495.5 ,81.9 ,  
2012 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,White ,A1 ,745 ,2 ,5 ,4 ,756 ,747 ,872 ,827 ,849.5 ,87.9 ,  
2011 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,White ,A1 ,721 ,0 ,9 ,7 ,737 ,721 ,857 ,802 ,829.5 ,86.9 ,  
2010 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,White ,A1 ,719 ,4 ,10 ,4 ,737 ,723 ,836 ,794 ,815.0 ,88.7 ,  
2009 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,White ,A1 ,685 ,0 ,2 ,10 ,697 ,685 ,825 ,731 ,778.0 ,88.1 ,  
2008 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,White ,A1 ,688 ,5 ,3 ,4 ,700 ,693 ,810 ,746 ,778.0 ,89.1 ,  
2012 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,95 ,0 ,1 ,0 ,96 ,95 ,104 ,94 ,99.0 ,96.0 ,  
2011 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,64 ,2 ,3 ,0 ,69 ,66 ,81 ,72 ,76.5 ,86.3 ,  
2010 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,87 ,1 ,0 ,0 ,88 ,88 ,107 ,104 ,105.5 ,83.4 ,  
2009 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,95 ,0 ,1 ,3 ,99 ,95 ,100 ,108 ,104.0 ,91.4 ,  
2008 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,85 ,0 ,0 ,0 ,85 ,85 ,105 ,100 ,102.5 ,82.9 ,  
2012 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,35 ,0 ,1 ,0 ,36 ,35 ,43 ,40 ,41.5 ,84.3 ,  
2011 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,29 ,0 ,1 ,1 ,31 ,29 ,38 ,33 ,35.5 ,81.7 ,  
2010 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,24 ,0 ,1 ,0 ,25 ,24 ,25 ,29 ,27.0 ,88.9 ,  
2009 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,21 ,0 ,1 ,3 ,25 ,21 ,31 ,28 ,29.5 ,71.2 ,  
2008 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,23 ,0 ,0 ,0 ,23 ,23 ,26 ,22 ,24.0 ,95.8 ,  
2012 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,23 ,0 ,1 ,0 ,24 ,23 ,23 ,29 ,26.0 ,88.5 ,  
2011 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,20 ,0 ,1 ,0 ,21 ,20 ,18 ,22 ,20.0 ,100.0 ,  
2010 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,23 ,0 ,0 ,0 ,23 ,23 ,25 ,27 ,26.0 ,88.5 ,  
2009 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,15 ,0 ,0 ,1 ,16 ,15 ,15 ,16 ,15.5 ,96.8 ,  
2008 ,571 ,571 ,  ,Warren County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,19 ,0 ,0 ,0 ,19 ,19 ,16 ,18 ,17.0 ,100.0 ,  
2012 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Total ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Total ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Female ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Female ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Male ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Male ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Total ,White ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Total ,White ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Total ,Afr. Am. ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Total ,Afr. Am. ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Total ,Asian ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571003 ,571 ,003 ,Warren County ,South Warren High School ,Total ,Asian ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Total ,A1 ,209 ,0 ,1 ,2 ,212 ,209 ,317 ,277 ,297.0 ,70.4 ,  
2011 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Total ,A1 ,207 ,0 ,0 ,2 ,209 ,207 ,283 ,256 ,269.5 ,76.8 ,  
2010 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Total ,A1 ,255 ,0 ,0 ,2 ,257 ,255 ,305 ,294 ,299.5 ,85.1 ,  
2009 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Total ,A1 ,275 ,0 ,0 ,8 ,283 ,275 ,318 ,302 ,310.0 ,88.7 ,  
2008 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Total ,A1 ,266 ,0 ,0 ,2 ,268 ,266 ,310 ,290 ,300.0 ,88.7 ,  
2012 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Female ,Total ,A1 ,102 ,0 ,1 ,0 ,103 ,102 ,157 ,136 ,146.5 ,69.6 ,  
2011 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Female ,Total ,A1 ,111 ,0 ,0 ,1 ,112 ,111 ,143 ,138 ,140.5 ,79.0 ,  
2010 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Female ,Total ,A1 ,127 ,0 ,0 ,0 ,127 ,127 ,150 ,144 ,147.0 ,86.4 ,  
2009 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Female ,Total ,A1 ,140 ,0 ,0 ,3 ,143 ,140 ,159 ,152 ,155.5 ,90.0 ,  
2008 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Female ,Total ,A1 ,138 ,0 ,0 ,1 ,139 ,138 ,152 ,145 ,148.5 ,92.9 ,  
2012 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Male ,Total ,A1 ,107 ,0 ,0 ,2 ,109 ,107 ,160 ,141 ,150.5 ,71.1 ,  
2011 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Male ,Total ,A1 ,96 ,0 ,0 ,1 ,97 ,96 ,140 ,118 ,129.0 ,74.4 ,  
2010 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Male ,Total ,A1 ,128 ,0 ,0 ,2 ,130 ,128 ,155 ,150 ,152.5 ,83.9 ,  
2009 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Male ,Total ,A1 ,135 ,0 ,0 ,5 ,140 ,135 ,159 ,150 ,154.5 ,87.4 ,  
2008 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Male ,Total ,A1 ,128 ,0 ,0 ,1 ,129 ,128 ,158 ,145 ,151.5 ,84.5 ,  
2012 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,White ,A1 ,138 ,0 ,0 ,2 ,140 ,138 ,236 ,201 ,218.5 ,63.2 ,  
2011 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,White ,A1 ,155 ,0 ,0 ,2 ,157 ,155 ,208 ,188 ,198.0 ,78.3 ,  
2010 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,White ,A1 ,184 ,0 ,0 ,2 ,186 ,184 ,202 ,213 ,207.5 ,88.7 ,  
2009 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,White ,A1 ,209 ,0 ,0 ,4 ,213 ,209 ,220 ,201 ,210.5 ,99.3 ,  
2008 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,White ,A1 ,192 ,0 ,0 ,2 ,194 ,192 ,210 ,187 ,198.5 ,96.7 ,  
2012 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Afr. Am. ,A1 ,47 ,0 ,1 ,0 ,48 ,47 ,49 ,43 ,46.0 ,100.0 ,  
