School Year,School Code,District Number,School Number,District Name,School Name,Gender,Ethnicity,Type,Graduates with Diploma in 4 years,Graduates with Diploma but IEP allowed 4+ years,Graduates with Diploma in 4+ years,Certificates of Completion or GED,Total Graduates or Completers,AFGR Graduates,Grade 9 Membership,Grade 10 Membership,AFGR Average Membership,AFGR Grad Rate,District Factors Impacting AFGR**
2011 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Female ,Total ,A1 ,101 ,0 ,1 ,0 ,102 ,101 ,125 ,112 ,118.5 ,85.2 ,  
2010 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Female ,Total ,A1 ,95 ,0 ,3 ,1 ,99 ,95 ,136 ,111 ,123.5 ,76.9 ,  
2009 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Female ,Total ,A1 ,86 ,0 ,1 ,2 ,89 ,86 ,117 ,103 ,110.0 ,78.2 ,  
2008 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Female ,Total ,A1 ,102 ,0 ,0 ,0 ,102 ,102 ,121 ,106 ,113.5 ,89.9 ,  
2012 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Male ,Total ,A1 ,107 ,0 ,0 ,2 ,109 ,107 ,142 ,133 ,137.5 ,77.8 ,  
2011 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Male ,Total ,A1 ,89 ,0 ,0 ,2 ,91 ,89 ,148 ,129 ,138.5 ,64.3 ,  
2010 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Male ,Total ,A1 ,85 ,0 ,1 ,1 ,87 ,85 ,132 ,105 ,118.5 ,71.7 ,  
2009 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Male ,Total ,A1 ,90 ,0 ,0 ,2 ,92 ,90 ,127 ,107 ,117.0 ,76.9 ,  
2008 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Male ,Total ,A1 ,92 ,1 ,1 ,2 ,96 ,93 ,126 ,98 ,112.0 ,83.0 ,  
2012 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,White ,A1 ,171 ,0 ,0 ,2 ,173 ,171 ,237 ,218 ,227.5 ,75.2 ,  
2011 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,White ,A1 ,163 ,0 ,1 ,2 ,166 ,163 ,238 ,207 ,222.5 ,73.3 ,  
2010 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,White ,A1 ,152 ,0 ,3 ,2 ,157 ,152 ,232 ,185 ,208.5 ,72.9 ,  
2009 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,White ,A1 ,139 ,0 ,0 ,3 ,142 ,139 ,197 ,167 ,182.0 ,76.4 ,  
2008 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,White ,A1 ,170 ,1 ,1 ,2 ,174 ,171 ,213 ,180 ,196.5 ,87.0 ,  
2012 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Afr. Am. ,A1 ,17 ,0 ,0 ,0 ,17 ,17 ,22 ,15 ,18.5 ,91.9 ,  
2011 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Afr. Am. ,A1 ,14 ,0 ,0 ,0 ,14 ,14 ,17 ,16 ,16.5 ,84.8 ,  
2010 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Afr. Am. ,A1 ,13 ,0 ,0 ,0 ,13 ,13 ,20 ,18 ,19.0 ,68.4 ,  
2009 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Afr. Am. ,A1 ,30 ,0 ,0 ,0 ,30 ,30 ,34 ,35 ,34.5 ,87.0 ,  
2008 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Afr. Am. ,A1 ,20 ,0 ,0 ,0 ,20 ,20 ,25 ,20 ,22.5 ,88.9 ,  
2012 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Total ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Total ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Female ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Female ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Male ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Male ,Total ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Total ,White ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Total ,White ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Total ,Afr. Am. ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Total ,Afr. Am. ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Total ,Hispanic ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2011 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Total ,Hispanic ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Total ,Asian ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
